index,occurrence_unique_id,occurrence_year,division,homicide_type,occurrence_date,hood_id,neighbourhood,longitude,latitude,object_id,x,y
531,2919665,2008,D55,Stabbing,2008-08-03 12:00:00,64,Woodbine Corridor (64),-79.3132025,43.67017932,538,-79.3132025,43.670179319999995
532,2756711,2008,D42,Shooting,2008-08-10 12:00:00,128,Agincourt South-Malvern West (128),-79.25723979,43.7873913,539,-79.25723979,43.7873913
533,2891170,2008,D32,Shooting,2008-08-24 12:00:00,37,Willowdale West (37),-79.43873547,43.76446008,540,-79.43873547,43.76446008
534,2928965,2008,D42,Shooting,2008-08-26 12:00:00,132,Malvern (132),-79.22664531,43.8051811,541,-79.22664531,43.80518109999999
535,2597314,2008,D23,Other,2008-05-28 12:00:00,1,West Humber-Clairville (1),-79.59257596,43.71653266,542,-79.59257596000002,43.716532660000006
536,2986087,2008,D51,Other,2008-08-22 12:00:00,77,Waterfront Communities-The Island (77),-79.35614371,43.64920871,543,-79.35614371,43.649208709999996
537,2881742,2008,D33,Stabbing,2008-09-02 12:00:00,52,Bayview Village (52),-79.37913184,43.76594753,544,-79.37913184,43.765947530000005
538,2406153,2008,D12,Shooting,2008-09-08 12:00:00,110,Keelesdale-Eglinton West (110),-79.46939587,43.69142738,545,-79.46939587,43.691427379999986
539,2386684,2008,D31,Stabbing,2008-09-08 12:00:00,22,Humbermede (22),-79.54234005,43.752091,546,-79.54234005,43.752091
540,2922744,2008,D31,Shooting,2008-09-09 12:00:00,29,Maple Leaf (29),-79.48127397,43.72273162,547,-79.48127397,43.722731620000005
541,2747960,2008,D31,Shooting,2008-09-16 12:00:00,24,Black Creek (24),-79.5187813,43.7619181,548,-79.51878130000001,43.76191810000001
542,2909162,2008,D42,Stabbing,2008-09-16 12:00:00,118,Tam O'Shanter-Sullivan (118),-79.2873864,43.78173374,549,-79.28738640000002,43.78173373999999
543,2954481,2008,D31,Shooting,2008-09-22 12:00:00,25,Glenfield-Jane Heights (25),-79.51414941,43.7554738,550,-79.51414941,43.755473800000004
544,2395868,2008,D22,Shooting,2008-10-03 12:00:00,9,Edenbridge-Humber Valley (9),-79.51141912,43.68396393,551,-79.51141912,43.68396393
545,2875476,2008,D31,Other,2008-09-24 12:00:00,26,Downsview-Roding-CFB (26),-79.4901831,43.73471251,552,-79.49018309999998,43.73471251
546,3044970,2008,D31,Shooting,2008-10-09 12:00:00,26,Downsview-Roding-CFB (26),-79.51410965,43.72063505,553,-79.51410965,43.72063504999999
547,2386395,2008,D14,Other,2008-10-11 12:00:00,82,Niagara (82),-79.39948839,43.63339968,554,-79.39948839,43.63339967999999
548,2897918,2008,D42,Stabbing,2008-10-13 12:00:00,131,Rouge (131),-79.16673861,43.8075542,555,-79.16673861,43.8075542
549,2897918,2008,D42,Stabbing,2008-10-13 12:00:00,131,Rouge (131),-79.16673861,43.8075542,556,-79.16673861,43.8075542
550,2823465,2008,D43,Shooting,2008-10-14 12:00:00,139,Scarborough Village (139),-79.22512248,43.7417914,557,-79.22512248,43.74179139999998
551,2440245,2008,D55,Shooting,2008-10-25 12:00:00,70,South Riverdale (70),-79.33018425,43.66323875,558,-79.33018425,43.66323874999999
552,3023273,2008,D32,Shooting,2008-10-25 12:00:00,33,Clanton Park (33),-79.44008342,43.75409356,559,-79.44008342,43.75409356000001
553,2373236,2008,D14,Other,2008-08-28 12:00:00,78,Kensington-Chinatown (78),-79.40110737,43.65227394,560,-79.40110736999999,43.65227394000001
554,2863291,2008,D43,Stabbing,2008-11-18 13:00:00,135,Morningside (135),-79.21790293,43.77080779,561,-79.21790293,43.77080778999999
555,2863291,2008,D43,Stabbing,2008-11-18 13:00:00,135,Morningside (135),-79.21790293,43.77080779,562,-79.21790293,43.77080778999999
556,2863291,2008,D43,Stabbing,2008-11-18 13:00:00,135,Morningside (135),-79.21790293,43.77080779,563,-79.21790293,43.77080778999999
557,2739826,2008,D22,Other,2008-11-23 13:00:00,13,Etobicoke West Mall (13),-79.57217757,43.6523955,564,-79.57217757,43.65239549999999
558,3049956,2008,D33,Shooting,2008-11-26 13:00:00,43,Victoria Village (43),-79.30975281,43.74214362,565,-79.30975281,43.74214361999999
559,2439136,2008,D22,Stabbing,2008-12-03 13:00:00,18,New Toronto (18),-79.50886163,43.60153841,566,-79.50886163000001,43.601538409999996
560,2873166,2008,D12,Stabbing,2008-12-06 13:00:00,112,Beechborough-Greenbrook (112),-79.47089462,43.69660081,567,-79.47089462,43.69660081
561,3103211,2008,D41,Other,2008-12-25 13:00:00,119,Wexford/Maryvale (119),-79.27886224,43.73286173,568,-79.27886224,43.732861729999996
562,3148206,2009,D31,Shooting,2009-01-03 13:00:00,21,Humber Summit (21),-79.5529431,43.75144038,569,-79.55294309999998,43.75144038
563,3100835,2009,D33,Shooting,2009-01-04 13:00:00,42,Banbury-Don Mills (42),-79.35523422,43.74094056,570,-79.35523422,43.74094055999999
564,3118823,2009,D55,Other,2009-01-06 13:00:00,44,Flemingdon Park (44),-79.32651088,43.71774082,571,-79.32651088,43.717740819999996
565,3167296,2009,D12,Stabbing,2009-01-16 13:00:00,91,Weston-Pellam Park (91),-79.46065807,43.67068681,572,-79.46065807,43.67068680999999
566,3043662,2009,D12,Shooting,2009-01-20 13:00:00,110,Keelesdale-Eglinton West (110),-79.47431999,43.68851935,573,-79.47431999,43.68851934999999
567,3065148,2009,D12,Shooting,2009-02-01 13:00:00,113,Weston (113),-79.51127669,43.69834448,574,-79.51127669,43.69834448
568,2874543,2009,D41,Shooting,2009-02-10 13:00:00,135,Morningside (135),-79.20566536,43.78568446,575,-79.20566536,43.78568445999999
569,3219115,2009,D31,Shooting,2009-02-22 13:00:00,24,Black Creek (24),-79.51163274,43.76604243,576,-79.51163274,43.766042429999985
570,2904889,2009,D12,Shooting,2009-02-26 13:00:00,110,Keelesdale-Eglinton West (110),-79.47714236,43.68967013,577,-79.47714236,43.68967013
571,3082434,2009,D41,Shooting,2009-02-28 13:00:00,126,Dorset Park (126),-79.27624626,43.75322647,578,-79.27624626,43.75322647
572,3180676,2009,D31,Stabbing,2009-03-12 12:00:00,24,Black Creek (24),-79.52630213,43.76112761,579,-79.52630213,43.761127609999996
573,3159164,2009,D41,Stabbing,2009-04-02 12:00:00,124,Kennedy Park (124),-79.26204991,43.72591499,580,-79.26204991,43.72591498999999
574,3233433,2009,D55,Stabbing,2009-04-17 12:00:00,70,South Riverdale (70),-79.33413241,43.66585945,581,-79.33413241,43.665859450000006
