index,occurrence_unique_id,occurrence_date,occurrence_year,occurrence_month,occurrence_dayofweek,occurrence_hour,time_range,division,death,injuries,hood_id,neighbourhood,longitude,latitude,object_id,x,y
35,GO-2004232800,2004-03-14 13:00:00,2004,March,Sunday,18.0,Evening,D31,0,1,24,Black Creek (24),-79.51472666,43.76721178,35,-79.51472666,43.76721178
36,GO-2004239294,2004-03-19 13:00:00,2004,March,Friday,22.0,Evening,D41,0,1,139,Scarborough Village (139),-79.2202886,43.74654133,36,-79.2202886,43.746541329999985
37,GO-2004252448,2004-03-20 13:00:00,2004,March,Saturday,12.0,Afternoon,D31,0,1,137,Woburn (137),-79.25119734,43.77968425,37,-79.25119734000002,43.779684249999995
38,GO-2004239286,2004-03-20 13:00:00,2004,March,Saturday,0.0,Night,D13,0,1,107,Oakwood Village (107),-79.44764573,43.69625936,38,-79.44764573,43.69625935999999
39,GO-2004255502,2004-03-29 13:00:00,2004,March,Monday,16.0,Afternoon,D31,0,0,24,Black Creek (24),-79.51472666,43.76721178,39,-79.51472666,43.76721178
40,GO-2004255020,2004-03-29 13:00:00,2004,March,Monday,9.0,Morning,D41,0,0,138,Eglinton East (138),-79.23232822,43.74379368,40,-79.23232822000001,43.743793679999996
41,GO-2004268947,2004-03-29 13:00:00,2004,March,Monday,0.0,Night,D41,0,1,127,Bendale (127),-79.26307673,43.75376627,41,-79.26307673,43.75376627
42,GO-2004251775,2004-03-29 13:00:00,2004,March,Monday,11.0,Morning,D42,0,0,137,Woburn (137),-79.2246687,43.75783951,42,-79.2246687,43.75783950999999
43,GO-2004259451,2004-04-05 12:00:00,2004,April,Monday,23.0,Evening,D23,0,1,8,Humber Heights-Westmount (8),-79.51745424,43.69262736,43,-79.51745424,43.69262736
44,GO-2004262735,2004-04-05 12:00:00,2004,April,Monday,20.0,Evening,D42,0,0,117,L'Amoreaux (117),-79.30511567,43.7971152,44,-79.30511567000002,43.79711519999999
45,GO-2004263733,2004-04-05 12:00:00,2004,April,Monday,20.0,Evening,D42,0,0,117,L'Amoreaux (117),-79.30511567,43.7971152,45,-79.30511567000002,43.79711519999999
46,GO-2004303360,2004-04-11 12:00:00,2004,April,Sunday,1.0,Night,D52,0,1,78,Kensington-Chinatown (78),-79.3938201,43.65382278,46,-79.39382010000001,43.653822779999985
47,GO-2004303455,2004-04-12 12:00:00,2004,April,Monday,22.0,Evening,D42,0,0,132,Malvern (132),-79.21239596,43.81207934,47,-79.21239595999998,43.81207933999998
48,GO-2004250857,2004-04-13 12:00:00,2004,April,Tuesday,20.0,Evening,D23,1,0,5,Elms-Old Rexdale (5),-79.5505259,43.72509835,48,-79.5505259,43.72509835
49,GO-2004304903,2004-04-14 12:00:00,2004,April,Wednesday,22.0,Evening,D42,0,1,117,L'Amoreaux (117),-79.31246632,43.80228516,49,-79.31246632000001,43.80228515999999
50,GO-2004764704,2004-04-14 12:00:00,2004,April,Wednesday,23.0,Evening,D14,0,0,85,South Parkdale (85),-79.42733544,43.63896,50,-79.42733544,43.63895999999999
51,GO-2004310859,2004-04-15 12:00:00,2004,April,Thursday,0.0,Night,D31,0,2,25,Glenfield-Jane Heights (25),-79.51040848,43.74922746,51,-79.51040848,43.749227459999986
52,GO-2004295496,2004-04-16 12:00:00,2004,April,Friday,2.0,Night,D52,0,1,77,Waterfront Communities-The Island (77),-79.3932382,43.64839265,52,-79.3932382,43.64839265
53,GO-2004315641,2004-04-17 12:00:00,2004,April,Saturday,11.0,Morning,D31,0,0,24,Black Creek (24),-79.51472666,43.76721178,53,-79.51472666,43.76721178
54,GO-2004314373,2004-04-17 12:00:00,2004,April,Saturday,2.0,Night,D14,0,1,84,Little Portugal (84),-79.43556322,43.64988978,54,-79.43556322,43.64988977999999
55,GO-2004341984,2004-04-19 12:00:00,2004,April,Monday,12.0,Afternoon,D42,0,2,87,High Park-Swansea (87),-79.48194909,43.64410184,55,-79.48194909,43.64410183999999
56,GO-2004348492,2004-04-19 12:00:00,2004,April,Monday,3.0,Night,D52,0,0,76,Bay Street Corridor (76),-79.38712214,43.65502364,56,-79.38712214,43.65502364000001
57,GO-2004239848,2004-04-21 12:00:00,2004,April,Wednesday,0.0,Night,D32,0,1,26,Downsview-Roding-CFB (26),-79.47425455,43.75553514,57,-79.47425454999998,43.75553513999999
58,GO-2004339280,2004-04-23 12:00:00,2004,April,Friday,22.0,Evening,D42,0,0,136,West Hill (136),-79.1932545,43.76320713,58,-79.1932545,43.763207129999984
59,GO-2004333885,2004-04-23 12:00:00,2004,April,Friday,21.0,Evening,D42,0,1,136,West Hill (136),-79.19639419,43.76614804,59,-79.19639419,43.76614803999999
60,GO-2004390743,2004-04-26 12:00:00,2004,April,Monday,0.0,Night,D12,0,0,113,Weston (113),-79.50379913,43.70287945,60,-79.50379913,43.702879450000005
61,GO-2004350484,2004-05-01 12:00:00,2004,May,Saturday,19.0,Evening,D23,1,0,2,Mount Olive-Silverstone-Jamestown (2),-79.57924831,43.73524273,61,-79.57924831,43.735242729999996
62,GO-2004417251,2004-05-01 12:00:00,2004,May,Saturday,21.0,Evening,D55,0,0,54,O'Connor-Parkview (54),-79.3014384,43.70240843,62,-79.3014384,43.702408430000006
63,GO-2004301868,2004-05-02 12:00:00,2004,May,Sunday,0.0,Night,D55,1,0,58,Old East York (58),-79.32874138,43.69594155,63,-79.32874138,43.69594155
64,GO-2004388577,2004-05-12 12:00:00,2004,May,Wednesday,0.0,Night,D31,0,0,25,Glenfield-Jane Heights (25),-79.50903948,43.7563086,64,-79.50903948,43.7563086
65,GO-2004387646,2004-05-13 12:00:00,2004,May,Thursday,16.0,Afternoon,D31,0,0,25,Glenfield-Jane Heights (25),-79.51919844,43.7528724,65,-79.51919843999998,43.7528724
66,GO-2004354521,2004-05-13 12:00:00,2004,May,Thursday,22.0,Evening,D14,0,0,78,Kensington-Chinatown (78),-79.40110737,43.65227394,66,-79.40110736999999,43.65227394000001
67,GO-2004311851,2004-05-14 12:00:00,2004,May,Friday,16.0,Afternoon,D31,1,1,24,Black Creek (24),-79.51872198,43.76916389,67,-79.51872197999998,43.76916389000001
68,GO-2004591388,2004-05-14 12:00:00,2004,May,Friday,0.0,Night,D12,0,0,113,Weston (113),-79.51127669,43.69834448,68,-79.51127669,43.69834448
69,GO-2004392487,2004-05-14 12:00:00,2004,May,Friday,16.0,Afternoon,D31,0,1,24,Black Creek (24),-79.51872198,43.76916389,69,-79.51872197999998,43.76916389000001
70,GO-2004397105,2004-05-15 12:00:00,2004,May,Saturday,1.0,Night,D41,0,0,137,Woburn (137),-79.23491721,43.78153248,70,-79.23491721,43.781532479999996
71,GO-2004394774,2004-05-19 12:00:00,2004,May,Wednesday,20.0,Evening,D22,0,0,17,Mimico (includes Humber Bay Shores) (17),-79.49262219,43.61498114,71,-79.49262219,43.61498113999999
72,GO-2004408691,2004-05-20 12:00:00,2004,May,Thursday,2.0,Night,D23,0,0,2,Mount Olive-Silverstone-Jamestown (2),-79.58527088,43.73226071,72,-79.58527088000001,43.732260709999984
73,GO-2004408131,2004-05-20 12:00:00,2004,May,Thursday,4.0,Night,D14,0,1,84,Little Portugal (84),-79.43969187,43.65016839,73,-79.43969187000002,43.65016839
74,GO-2004406517,2004-05-20 12:00:00,2004,May,Thursday,0.0,Night,D12,0,2,111,Rockcliffe-Smythe (111),-79.49567027,43.67620224,74,-79.49567027000002,43.676202239999995
75,GO-2004387719,2004-05-20 12:00:00,2004,May,Thursday,12.0,Afternoon,D51,0,0,75,Church-Yonge Corridor (75),-79.37734964,43.66099991,75,-79.37734964,43.660999909999994
76,GO-2004374867,2004-05-21 12:00:00,2004,May,Friday,19.0,Evening,D51,1,0,72,Regent Park (72),-79.36296147,43.660087,76,-79.36296146999999,43.660087
77,GO-2004308782,2004-05-22 12:00:00,2004,May,Saturday,22.0,Evening,D31,1,0,29,Maple Leaf (29),-79.4794254,43.71472156,77,-79.4794254,43.714721559999994
78,GO-2004409444,2004-05-23 12:00:00,2004,May,Sunday,3.0,Night,D23,0,0,1,West Humber-Clairville (1),-79.58759287,43.69145296,78,-79.58759287,43.69145296
79,GO-2004414391,2004-05-24 12:00:00,2004,May,Monday,22.0,Evening,D23,0,0,1,West Humber-Clairville (1),-79.58678411,43.68794902,79,-79.58678411,43.68794901999999
80,GO-2004423639,2004-05-25 12:00:00,2004,May,Tuesday,17.0,Afternoon,D12,0,0,111,Rockcliffe-Smythe (111),-79.49740793,43.67191166,80,-79.49740792999998,43.67191166
81,GO-2004482932,2004-05-27 12:00:00,2004,May,Thursday,3.0,Night,D51,0,1,73,Moss Park (73),-79.36716399,43.65501473,81,-79.36716398999998,43.655014729999984
82,GO-2004421259,2004-05-28 12:00:00,2004,May,Friday,21.0,Evening,D23,0,0,1,West Humber-Clairville (1),-79.59417116,43.7419265,82,-79.59417116,43.7419265
83,GO-2004437150,2004-05-28 12:00:00,2004,May,Friday,15.0,Afternoon,D12,0,1,110,Keelesdale-Eglinton West (110),-79.47036219,43.69122583,83,-79.47036219000002,43.69122582999999
84,GO-2004455760,2004-05-29 12:00:00,2004,May,Saturday,18.0,Evening,D51,0,1,NSA,NSA,0.0,0.0,84,0.0,0.0
85,GO-2004413914,2004-05-30 12:00:00,2004,May,Sunday,16.0,Afternoon,D22,0,1,13,Etobicoke West Mall (13),-79.56866967,43.64940692,85,-79.56866967000002,43.64940691999998
86,GO-2004455137,2004-06-01 12:00:00,2004,June,Tuesday,2.0,Night,D14,1,0,85,South Parkdale (85),-79.42808998,43.63598082,86,-79.42808998,43.63598081999999
87,GO-2004484856,2004-06-03 12:00:00,2004,June,Thursday,15.0,Afternoon,D14,0,1,NSA,NSA,0.0,0.0,87,0.0,0.0
88,GO-20041053840,2004-06-03 12:00:00,2004,June,Thursday,20.0,Evening,D12,0,0,111,Rockcliffe-Smythe (111),-79.49470837,43.67399077,88,-79.49470837,43.67399077000001
89,GO-2004487997,2004-06-04 12:00:00,2004,June,Friday,21.0,Evening,D42,0,1,118,Tam O'Shanter-Sullivan (118),-79.2993063,43.78359438,89,-79.2993063,43.78359437999999
90,GO-2004457239,2004-06-04 12:00:00,2004,June,Friday,18.0,Evening,D43,0,0,137,Woburn (137),-79.21972494,43.75624328,90,-79.21972494,43.75624328
91,GO-2004510279,2004-06-08 12:00:00,2004,June,Tuesday,1.0,Night,D23,0,0,2,Mount Olive-Silverstone-Jamestown (2),-79.59190438,43.74533099,91,-79.59190438,43.74533099
92,GO-2004515049,2004-06-10 12:00:00,2004,June,Thursday,16.0,Afternoon,D43,0,1,136,West Hill (136),-79.1932545,43.76320713,92,-79.1932545,43.763207129999984
93,GO-2004525248,2004-06-11 12:00:00,2004,June,Friday,20.0,Evening,D52,0,1,77,Waterfront Communities-The Island (77),-79.3932382,43.64839265,93,-79.3932382,43.64839265
94,GO-2004521591,2004-06-12 12:00:00,2004,June,Saturday,23.0,Evening,D14,0,1,80,Palmerston-Little Italy (80),-79.42322914,43.6625099,94,-79.42322914,43.6625099
95,GO-2004518544,2004-06-12 12:00:00,2004,June,Saturday,0.0,Night,D31,0,0,23,Pelmo Park-Humberlea (23),-79.50770752,43.71737949,95,-79.50770752,43.71737949
96,GO-2004513214,2004-06-13 12:00:00,2004,June,Sunday,18.0,Evening,D51,0,1,73,Moss Park (73),-79.37099208,43.65829436,96,-79.37099208000001,43.65829435999999
97,GO-2004511158,2004-06-13 12:00:00,2004,June,Sunday,17.0,Afternoon,D22,0,0,17,Mimico (includes Humber Bay Shores) (17),-79.48862673,43.61495018,97,-79.48862673,43.614950179999994
98,GO-2004513218,2004-06-14 12:00:00,2004,June,Monday,17.0,Afternoon,D22,0,0,14,Islington-City Centre West (14),-79.51836456,43.63248768,98,-79.51836456,43.63248767999998
99,GO-2004650414,2004-06-15 12:00:00,2004,June,Tuesday,13.0,Afternoon,D22,0,0,16,Stonegate-Queensway (16),-79.48946681,43.639690709999996,99,-79.48946681000001,43.63969071
100,GO-2004505020,2004-06-17 12:00:00,2004,June,Thursday,1.0,Night,D42,0,0,132,Malvern (132),-79.2360175,43.79187604,100,-79.2360175,43.791876040000005
201,GO-2005920738,2005-01-21 13:00:00,2005,January,Friday,21.0,Evening,D14,2,0,82,Niagara (82),-79.40767877,43.64290821,101,-79.40767877,43.642908209999995
202,GO-2005772582,2005-01-26 13:00:00,2005,January,Wednesday,18.0,Evening,D31,0,1,25,Glenfield-Jane Heights (25),-79.4997331,43.74020328,102,-79.4997331,43.74020328
203,GO-2005873262,2005-01-26 13:00:00,2005,January,Wednesday,0.0,Night,D42,0,1,116,Steeles (116),-79.31756575,43.81816317,103,-79.31756575,43.81816316999999
