X,Y,Index_,Event_Unique_ID,Occurrence_Date,Occurrence_year,Month,Day_of_week,Occurrence_Hour,Time_Range,Division,Death,Injuries,Hood_ID,Neighbourhood,Longitude,Latitude,ObjectId
-8855893.06631627,5421914.84127854,29,GO-2004224089,2004/03/07 05:00:00+00,2004,March,Sunday    ,1,Night,D23,0,1,5,Elms-Old Rexdale (5),-79.55384096,43.71806233,29
-8820170.28327195,5431389.10470631,30,GO-2004233515,2004/03/10 05:00:00+00,2004,March,Wednesday ,21,Evening,D42,0,2,137,Woburn (137),-79.23293774,43.77954305,30
-8822790.62608656,5423868.60651388,31,GO-2004232446,2004/03/13 05:00:00+00,2004,March,Saturday  ,0,Night,D41,0,0,124,Kennedy Park (124),-79.25647668,43.73074594,31
-8851431.34105026,5422187.33380336,32,GO-2004237217,2004/03/13 05:00:00+00,2004,March,Saturday  ,22,Evening,D31,0,0,26,Downsview-Roding-CFB (26),-79.5137606,43.71983148,32
-8863215.36185803,5423803.32906803,33,GO-2004235315,2004/03/14 05:00:00+00,2004,March,Sunday    ,18,Evening,D23,0,1,1,West Humber-Clairville (1),-79.61961826,43.73032221,33
-8829713.54959676,5428364.8002231,34,GO-2004213938,2004/03/14 05:00:00+00,2004,March,Sunday    ,0,Night,D33,0,0,45,Parkwoods-Donalda (45),-79.31866636,43.75992449,34
-8851538.88235753,5429488.05860748,35,GO-2004232800,2004/03/14 05:00:00+00,2004,March,Sunday    ,18,Evening,D31,0,1,24,Black Creek (24),-79.51472666,43.76721178,35
-8818762.18744818,5426302.2844789,36,GO-2004239294,2004/03/19 05:00:00+00,2004,March,Friday    ,22,Evening,D41,0,1,139,Scarborough Village (139),-79.2202886,43.74654133,36
-8822202.93264604,5431410.8750271,37,GO-2004252448,2004/03/20 05:00:00+00,2004,March,Saturday  ,12,Afternoon,D31,0,1,137,Woburn (137),-79.25119734,43.77968425,37
-8844071.46738799,5418557.30905301,38,GO-2004239286,2004/03/20 05:00:00+00,2004,March,Saturday  ,0,Night,D13,0,1,107,Oakwood Village (107),-79.44764573,43.69625936,38
-8851538.88235753,5429488.05860748,39,GO-2004255502,2004/03/29 05:00:00+00,2004,March,Monday    ,16,Afternoon,D31,0,0,24,Black Creek (24),-79.51472666,43.76721178,39
-8820102.43181592,5425878.89360926,40,GO-2004255020,2004/03/29 05:00:00+00,2004,March,Monday    ,9,Morning,D41,0,0,138,Eglinton East (138),-79.23232822,43.74379368,40
-8823525.34029177,5427415.68264424,41,GO-2004268947,2004/03/29 05:00:00+00,2004,March,Monday    ,0,Night,D41,0,1,127,Bendale (127),-79.26307673,43.75376627,41
-8819249.7779498,5428043.44786417,42,GO-2004251775,2004/03/29 05:00:00+00,2004,March,Monday    ,11,Morning,D42,0,0,137,Woburn (137),-79.2246687,43.75783951,42
-8851842.51517423,5417998.12053708,43,GO-2004259451,2004/04/05 04:00:00+00,2004,April,Monday    ,23,Evening,D23,0,1,8,Humber Heights-Westmount (8),-79.51745424,43.69262736,43
-8828205.09368606,5434098.78688113,44,GO-2004262735,2004/04/05 04:00:00+00,2004,April,Monday    ,20,Evening,D42,0,0,117,L'Amoreaux (117),-79.30511567,43.7971152,44
-8828205.09368606,5434098.78688113,45,GO-2004263733,2004/04/05 04:00:00+00,2004,April,Monday    ,20,Evening,D42,0,0,117,L'Amoreaux (117),-79.30511567,43.7971152,45
-8838079.62566477,5412025.81789934,46,GO-2004303360,2004/04/11 04:00:00+00,2004,April,Sunday    ,1,Night,D52,0,1,78,Kensington-Chinatown (78),-79.3938201,43.65382278,46
-8817883.58278236,5436406.93380276,47,GO-2004303455,2004/04/12 04:00:00+00,2004,April,Monday    ,22,Evening,D42,0,0,132,Malvern (132),-79.21239596,43.81207934,47
-8855524.03552512,5422998.60869784,48,GO-2004250857,2004/04/13 04:00:00+00,2004,April,Tuesday   ,20,Evening,D23,1,0,5,Elms-Old Rexdale (5),-79.5505259,43.72509835,48
-8829023.36430106,5434896.16308001,49,GO-2004304903,2004/04/14 04:00:00+00,2004,April,Wednesday ,22,Evening,D42,0,1,117,L'Amoreaux (117),-79.31246632,43.80228516,49
-8841810.53624733,5409739.351874,50,GO-2004764704,2004/04/14 04:00:00+00,2004,April,Wednesday ,23,Evening,D14,0,0,85,South Parkdale (85),-79.42733544,43.63896,50
-8851058.18475878,5426716.21439604,51,GO-2004310859,2004/04/15 04:00:00+00,2004,April,Thursday  ,0,Night,D31,0,2,25,Glenfield-Jane Heights (25),-79.51040848,43.74922746,51
-8838014.84885308,5411190.38989597,52,GO-2004295496,2004/04/16 04:00:00+00,2004,April,Friday    ,2,Night,D52,0,1,77,Waterfront Communities-The Island (77),-79.3932382,43.64839265,52
-8851538.88235753,5429488.05860748,53,GO-2004315641,2004/04/17 04:00:00+00,2004,April,Saturday  ,11,Morning,D31,0,0,24,Black Creek (24),-79.51472666,43.76721178,53
-8842726.44852729,5411420.71649492,54,GO-2004314373,2004/04/17 04:00:00+00,2004,April,Saturday  ,2,Night,D14,0,1,84,Little Portugal (84),-79.43556322,43.64988978,54
-8847890.09995569,5410530.30021741,55,GO-2004341984,2004/04/19 04:00:00+00,2004,April,Monday    ,12,Afternoon,D42,0,2,87,High Park-Swansea (87),-79.48194909,43.64410184,55
-8837334.01216822,5412210.5809636,56,GO-2004348492,2004/04/19 04:00:00+00,2004,April,Monday    ,3,Night,D52,0,0,76,Bay Street Corridor (76),-79.38712214,43.65502364,56
-8847033.547681,5427688.29454136,57,GO-2004239848,2004/04/21 04:00:00+00,2004,April,Wednesday ,0,Night,D32,0,1,26,Downsview-Roding-CFB (26),-79.47425455,43.75553514,57
-8815752.76520212,5428870.76739189,58,GO-2004339280,2004/04/23 04:00:00+00,2004,April,Friday    ,22,Evening,D42,0,0,136,West Hill (136),-79.1932545,43.76320713,58
-8816102.27389417,5429324.08585108,59,GO-2004333885,2004/04/23 04:00:00+00,2004,April,Friday    ,21,Evening,D42,0,1,136,West Hill (136),-79.19639419,43.76614804,59
-8850322.43528231,5419576.63581028,60,GO-2004390743,2004/04/26 04:00:00+00,2004,April,Monday    ,0,Night,D12,0,0,113,Weston (113),-79.50379913,43.70287945,60
-8858721.39958068,5424561.38499229,61,GO-2004350484,2004/05/01 04:00:00+00,2004,May,Saturday  ,19,Evening,D23,1,0,2,Mount Olive-Silverstone-Jamestown (2),-79.57924831,43.73524273,61
